"utility","month","year","production_mgd"
"Fairfax Water","August",2015,183
"Fairfax Water","September",2015,181
"Fairfax Water","October",2015,146
"Fairfax Water","November",2015,135
"Fairfax Water","December",2015,132
"Fairfax Water","January",2016,134
"Fairfax Water","February",2016,134
"Fairfax Water","March",2016,135
"Fairfax Water","April",2016,147
"Fairfax Water","May",2016,148
"Fairfax Water","June",2016,177
"Fairfax Water","July",2016,190
"Fairfax Water","August",2016,191
"Fairfax Water","September",2016,186
"Fairfax Water","October",2016,165
"Fairfax Water","November",2016,156
"Fairfax Water","December",2016,149
"Fairfax Water","January",2017,142
"Fairfax Water","February",2017,140
"Fairfax Water","March",2017,137
"Fairfax Water","April",2017,146
"Fairfax Water","May",2017,154
"Fairfax Water","June",2017,183
"Fairfax Water","July",2017,186
"Fairfax Water","August",2017,170
"Fairfax Water","September",2017,169
"Fairfax Water","October",2017,160
"Fairfax Water","November",2017,137
"Fairfax Water","December",2017,137
"Fairfax Water","January",2018,147
"Fairfax Water","February",2018,136
"Fairfax Water","March",2018,136
"Fairfax Water","April",2018,145
"Fairfax Water","May",2018,163
"Fairfax Water","June",2018,167
"Fairfax Water","July",2018,189
"Fairfax Water","August",2018,174
"Fairfax Water","September",2018,153
"Fairfax Water","October",2018,144
"Fairfax Water","November",2018,130
"Fairfax Water","December",2018,127
"Fairfax Water","January",2019,127
"Fairfax Water","February",2019,129
"Fairfax Water","March",2019,129
"Fairfax Water","April",2019,138
"Fairfax Water","May",2019,150
"Fairfax Water","June",2019,163
"Fairfax Water","July",2019,178
"Fairfax Water","August",2019,186
"Fairfax Water","September",2019,186
"Fairfax Water","October",2019,162
"Fairfax Water","November",2019,141
"Fairfax Water","December",2019,133
"Fairfax Water","January",2020,131
"Fairfax Water","February",2020,125
"Fairfax Water","March",2020,130
"Fairfax Water","April",2020,134
"Fairfax Water","May",2020,146
"Fairfax Water","June",2020,173
"Fairfax Water","July",2020,202
"Fairfax Water","August",2020,168
"Fairfax Water","September",2020,156
"Fairfax Water","October",2020,147
"Fairfax Water","November",2020,134
"Fairfax Water","December",2020,131
"Fairfax Water","January",2021,133
"Fairfax Water","February",2021,135
"Fairfax Water","March",2021,131
"Fairfax Water","April",2021,142
"Fairfax Water","May",2021,159
"Fairfax Water","June",2021,176
"Fairfax Water","July",2021,191
"Fairfax Water","August",2021,178
"Fairfax Water","September",2021,166
"Fairfax Water","October",2021,153
"Fairfax Water","November",2021,133
"Fairfax Water","December",2021,129
"Fairfax Water","January",2022,133
"Fairfax Water","February",2022,130
"Fairfax Water","March",2022,130
"Fairfax Water","April",2022,135
"Fairfax Water","May",2022,144
"Fairfax Water","June",2022,170
"Fairfax Water","July",2022,174
"Fairfax Water","August",2022,176
"Fairfax Water","September",2022,170
"Fairfax Water","October",2022,147
"Fairfax Water","November",2022,135
"Fairfax Water","December",2022,133
"Fairfax Water","January",2023,131
"Fairfax Water","February",2023,130
"Fairfax Water","March",2023,128
"Fairfax Water","April",2023,148
"Fairfax Water","May",2023,163
"Fairfax Water","June",2023,183
"Fairfax Water","July",2023,172
"Fairfax Water","August",2023,180
"Fairfax Water","September",2023,176
"Fairfax Water","October",2023,158
"Fairfax Water","November",2023,139
"Fairfax Water","December",2023,133
"Loudoun Water","January",2005,14
"Loudoun Water","February",2005,14
"Loudoun Water","March",2005,14
"Loudoun Water","April",2005,16
"Loudoun Water","May",2005,18
"Loudoun Water","June",2005,22
"Loudoun Water","July",2005,22
"Loudoun Water","August",2005,24
"Loudoun Water","September",2005,26
"Loudoun Water","October",2005,19
"Loudoun Water","November",2005,16
"Loudoun Water","December",2005,15
"Loudoun Water","January",2006,15
"Loudoun Water","February",2006,15
"Loudoun Water","March",2006,15
"Loudoun Water","April",2006,18
"Loudoun Water","May",2006,22
"Loudoun Water","June",2006,23
"Loudoun Water","July",2006,26
"Loudoun Water","August",2006,30
"Loudoun Water","September",2006,20
"Loudoun Water","October",2006,17
"Loudoun Water","November",2006,16
"Loudoun Water","December",2006,13
"Loudoun Water","January",2007,15
"Loudoun Water","February",2007,16
"Loudoun Water","March",2007,16
"Loudoun Water","April",2007,18
"Loudoun Water","May",2007,27
"Loudoun Water","June",2007,31
"Loudoun Water","July",2007,34
"Loudoun Water","August",2007,30
"Loudoun Water","September",2007,28
"Loudoun Water","October",2007,19
"Loudoun Water","November",2007,16
"Loudoun Water","December",2007,16
"Loudoun Water","January",2008,16
"Loudoun Water","February",2008,16
"Loudoun Water","March",2008,16
"Loudoun Water","April",2008,20
"Loudoun Water","May",2008,22
"Loudoun Water","June",2008,27
"Loudoun Water","July",2008,29
"Loudoun Water","August",2008,30
"Loudoun Water","September",2008,25
"Loudoun Water","October",2008,21
"Loudoun Water","November",2008,17
"Loudoun Water","December",2008,16
"Loudoun Water","January",2009,16
"Loudoun Water","February",2009,16
"Loudoun Water","March",2009,16
"Loudoun Water","April",2009,20
"Loudoun Water","May",2009,19
"Loudoun Water","June",2009,22
"Loudoun Water","July",2009,29
"Loudoun Water","August",2009,28
"Loudoun Water","September",2009,24
"Loudoun Water","October",2009,19
"Loudoun Water","November",2009,17
"Loudoun Water","December",2009,16
"Loudoun Water","January",2010,17
"Loudoun Water","February",2010,17
"Loudoun Water","March",2010,17
"Loudoun Water","April",2010,22
"Loudoun Water","May",2010,24
"Loudoun Water","June",2010,30
"Loudoun Water","July",2010,31
"Loudoun Water","August",2010,27
"Loudoun Water","September",2010,28
"Loudoun Water","October",2010,20
"Loudoun Water","November",2010,17
"Loudoun Water","December",2010,17
"Loudoun Water","January",2011,17
"Loudoun Water","February",2011,17
"Loudoun Water","March",2011,17
"Loudoun Water","April",2011,17
"Loudoun Water","May",2011,20
"Loudoun Water","June",2011,32
"Loudoun Water","July",2011,34
"Loudoun Water","August",2011,29
"Loudoun Water","September",2011,21
"Loudoun Water","October",2011,19
"Loudoun Water","November",2011,17
"Loudoun Water","December",2011,17
"Loudoun Water","January",2012,17
"Loudoun Water","February",2012,17
"Loudoun Water","March",2012,18
"Loudoun Water","April",2012,23
"Loudoun Water","May",2012,25
"Loudoun Water","June",2012,30
"Loudoun Water","July",2012,33
"Loudoun Water","August",2012,28
"Loudoun Water","September",2012,25
"Loudoun Water","October",2012,21
"Loudoun Water","November",2012,18
"Loudoun Water","December",2012,17
"Loudoun Water","January",2013,18
"Loudoun Water","February",2013,17
"Loudoun Water","March",2013,18
"Loudoun Water","April",2013,22
"Loudoun Water","May",2013,24
"Loudoun Water","June",2013,26
"Loudoun Water","July",2013,28
"Loudoun Water","August",2013,27
"Loudoun Water","September",2013,28
"Loudoun Water","October",2013,22
"Loudoun Water","November",2013,19
"Loudoun Water","December",2013,18
"Loudoun Water","January",2014,18
"Loudoun Water","February",2014,18
"Loudoun Water","March",2014,18
"Loudoun Water","April",2014,20
"Loudoun Water","May",2014,23
"Loudoun Water","June",2014,27
"Loudoun Water","July",2014,29
"Loudoun Water","August",2014,28
"Loudoun Water","September",2014,27
"Loudoun Water","October",2014,22
"Loudoun Water","November",2014,19
"Loudoun Water","December",2014,18
"Loudoun Water","January",2015,17
"Loudoun Water","February",2015,19
"Loudoun Water","March",2015,18
"Loudoun Water","April",2015,20
"Loudoun Water","May",2015,25
"Loudoun Water","June",2015,28
"Loudoun Water","July",2015,27
"Loudoun Water","August",2015,30
"Loudoun Water","September",2015,28
"Loudoun Water","October",2015,22
"Loudoun Water","November",2015,19
"Loudoun Water","December",2015,18
"Loudoun Water","January",2016,19
"Loudoun Water","February",2016,19
"Loudoun Water","March",2016,20
"Loudoun Water","April",2016,23
"Loudoun Water","May",2016,23
"Loudoun Water","June",2016,30
"Loudoun Water","July",2016,32
"Loudoun Water","August",2016,33
"Loudoun Water","September",2016,32
"Loudoun Water","October",2016,25
"Loudoun Water","November",2016,20
"Loudoun Water","December",2016,19
"Loudoun Water","January",2017,19
"Loudoun Water","February",2017,19
"Loudoun Water","March",2017,19
"Loudoun Water","April",2017,22
"Loudoun Water","May",2017,24
"Loudoun Water","June",2017,32
"Loudoun Water","July",2017,31
"Loudoun Water","August",2017,27
"Loudoun Water","September",2017,27
"Loudoun Water","October",2017,25
"Loudoun Water","November",2017,20
"Loudoun Water","December",2017,18
"Loudoun Water","January",2018,20
"Loudoun Water","February",2018,19
"Loudoun Water","March",2018,20
"Loudoun Water","April",2018,22
"Loudoun Water","May",2018,25
"Loudoun Water","June",2018,28
"Loudoun Water","July",2018,32
"Loudoun Water","August",2018,29
"Loudoun Water","September",2018,24
"Loudoun Water","October",2018,22
"Loudoun Water","November",2018,19
"Loudoun Water","December",2018,19
"Loudoun Water","January",2019,20
"Loudoun Water","February",2019,20
"Loudoun Water","March",2019,20
"Loudoun Water","April",2019,22
"Loudoun Water","May",2019,26
"Loudoun Water","June",2019,30
"Loudoun Water","July",2019,33
"Loudoun Water","August",2019,34
"Loudoun Water","September",2019,33
"Loudoun Water","October",2019,27
"Loudoun Water","November",2019,20
"Loudoun Water","December",2019,20
"Loudoun Water","January",2020,20
"Loudoun Water","February",2020,19
"Loudoun Water","March",2020,21
"Loudoun Water","April",2020,23
"Loudoun Water","May",2020,25
"Loudoun Water","June",2020,30
"Loudoun Water","July",2020,37
"Loudoun Water","August",2020,29
"Loudoun Water","September",2020,27
"Loudoun Water","October",2020,24
"Loudoun Water","November",2020,21
"Loudoun Water","December",2020,20
"Loudoun Water","January",2021,21
"Loudoun Water","February",2021,21
"Loudoun Water","March",2021,21
"Loudoun Water","April",2021,23
"Loudoun Water","May",2021,28
"Loudoun Water","June",2021,33
"Loudoun Water","July",2021,35
"Loudoun Water","August",2021,33
"Loudoun Water","September",2021,28
"Loudoun Water","October",2021,26
"Loudoun Water","November",2021,22
"Loudoun Water","December",2021,21
"Loudoun Water","January",2022,22
"Loudoun Water","February",2022,21
"Loudoun Water","March",2022,22
"Loudoun Water","April",2022,24
"Loudoun Water","May",2022,27
"Loudoun Water","June",2022,31
"Loudoun Water","July",2022,33
"Loudoun Water","August",2022,34
"Loudoun Water","September",2022,32
"Loudoun Water","October",2022,26
"Loudoun Water","November",2022,23
"Loudoun Water","December",2022,23
"Loudoun Water","January",2023,23
"Loudoun Water","February",2023,22
"Loudoun Water","March",2023,22
"Loudoun Water","April",2023,26
"Loudoun Water","May",2023,29
"Loudoun Water","June",2023,35
"Loudoun Water","July",2023,35
"Loudoun Water","August",2023,36
"Loudoun Water","September",2023,33
"Loudoun Water","October",2023,27
"Loudoun Water","November",2023,25
"Loudoun Water","December",2023,23
